"date","race","total votes","total refunds","source"
2020-06-22,4,191977,0,"https://www.nankankeiba.com/odds/202006220305060401.do"
2020-06-22,5,225297,0,"https://www.nankankeiba.com/odds/202006220305060501.do"
2020-06-22,6,261884,0,"https://www.nankankeiba.com/odds/202006220305060601.do"
2020-06-22,7,267707,0,"https://www.nankankeiba.com/odds/202006220305060701.do"
2020-06-22,8,282034,0,"https://www.nankankeiba.com/odds/202006220305060801.do"
2020-06-22,9,339579,0,"https://www.nankankeiba.com/odds/202006220305060901.do"
2020-06-22,10,473564,0,"https://www.nankankeiba.com/odds/202006220305061001.do"
2020-06-22,11,543969,0,"https://www.nankankeiba.com/odds/202006220305061101.do"
2020-06-22,12,,,""

2020-06-27,1,99205,0,"https://www.nankankeiba.com/odds/202006270306010101.do"
2020-06-27,2,104249,0,"https://www.nankankeiba.com/odds/202006270306010201.do"
2020-06-27,3,103076,0,"https://www.nankankeiba.com/odds/202006270306010301.do"
2020-06-27,4,149496,0,"https://www.nankankeiba.com/odds/202006270306010401.do"
2020-06-27,5,232605,0,"https://www.nankankeiba.com/odds/202006270306010501.do"
2020-06-27,6,211510,0,"https://www.nankankeiba.com/odds/202006270306010601.do"
2020-06-27,7,196158,0,"https://www.nankankeiba.com/odds/202006270306010701.do"
2020-06-27,8,272204,0,"https://www.nankankeiba.com/odds/202006270306010801.do"
2020-06-27,9,287360,0,"https://www.nankankeiba.com/odds/202006270306010901.do"
2020-06-27,10,447440,0,"https://www.nankankeiba.com/odds/202006270306011001.do"
2020-06-27,11,417718,0,"https://www.nankankeiba.com/odds/202006270306011101.do"
2020-06-27,12,,,""

2020-06-28,1,82981,0,"https://www.nankankeiba.com/odds/202006270306010101.do"
2020-06-28,2,83383,0,"https://www.nankankeiba.com/odds/202006280306020201.do"
2020-06-28,3,83987,0,"https://www.nankankeiba.com/odds/202006280306020301.do"
2020-06-28,4,134330,12664,"https://www.nankankeiba.com/odds/202006280306020401.do"
2020-06-28,5,200277,0,"https://www.nankankeiba.com/odds/202006280306020501.do"
2020-06-28,6,232326,0,"https://www.nankankeiba.com/odds/202006280306020601.do"
2020-06-28,7,188531,0,"https://www.nankankeiba.com/odds/202006280306020701.do"
2020-06-28,8,273411,0,"https://www.nankankeiba.com/odds/202006280306020801.do"
2020-06-28,9,294122,0,"https://www.nankankeiba.com/odds/202006280306020901.do"
2020-06-28,10,492623,0,"https://www.nankankeiba.com/odds/202006280306021001.do"
